entry_threshold,exit_threshold,min_hold_bars,stop_atr_mult,trail_atr_mult,allow_short,start,end,bars,initial_equity,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,calmar,trades,win_rate_pct,profit_factor,expectancy_pct,avg_win_pct,avg_loss_pct,avg_bars_held,long_trades,short_trades,exposure_pct,buy_hold_return_pct
50.0,0.0,12,2.5,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,13040.274270923925,30.402742709239238,14.220021245762382,-18.43885266771431,0.6969243959611949,0.7006459777614964,0.7711988105778982,818,47.18826405867971,1.1559205172765743,-0.25630606042833665,1.4425811791617533,-1.7742932698768896,12.62958435207824,818,0,59.068038879359634,555.8986877561996
50.0,60.0,12,2.5,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,12311.243266024363,23.11243266024363,10.975830128854657,-19.12030862761216,0.5647964605856957,0.5616228409521213,0.5740404269941627,818,47.06601466992665,1.1272103327125313,-0.27406257238526777,1.4736817252469476,-1.828061543721071,12.62958435207824,818,0,59.068038879359634,555.8986877561996
50.0,95.0,12,2.5,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,12005.76619158403,20.057661915840306,9.588006813384764,-20.120224976983103,0.4859237054449251,0.45556375878636324,0.4765357655967137,760,47.76315789473684,1.1109153926387982,-0.24571878200487207,1.6792269469260852,-2.0058076978787702,13.797368421052632,760,0,59.95425957690109,555.8986877561996
50.0,80.0,12,2.5,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,11768.863786396036,17.688637863960356,8.49954886854427,-18.973802971759913,0.46577617259455073,0.4619906836415772,0.4479623236941358,818,47.31051344743276,1.1063035657843827,-0.2852067771989616,1.5038384440035553,-1.891611650993333,12.62958435207824,818,0,59.068038879359634,555.8986877561996
50.0,0.0,12,4.0,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,11598.814263002423,15.988142630024239,7.711491625000666,-19.089943828612576,0.4396212315551592,0.43791964212145074,0.4039557001442012,755,48.609271523178805,1.1104841318557104,-0.30809310241262267,1.4037642132514652,-1.9272983468680873,14.033112582781458,755,0,60.57747284162379,555.8986877561996
50.0,60.0,12,4.0,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,11110.771177065299,11.107711770652994,5.417165245091082,-21.22979670585864,0.34302225702814665,0.33814116280874,0.25516802257442933,755,48.87417218543046,1.0887447161239,-0.3186838466927753,1.4274218330023205,-1.9878884990437866,14.033112582781458,755,0,60.57747284162379,555.8986877561996
80.0,95.0,1,4.0,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,10700.927414103217,7.009274141032162,3.451297465586922,-13.5228445029003,0.31254521132135576,0.201312358877824,0.25521978492370506,694,51.873198847262245,1.13678150933554,0.06032717469528949,1.0464217831475524,-1.0025292895047544,5.145533141210374,694,0,20.417381360777586,555.8986877561996
50.0,80.0,12,4.0,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,10679.301030838404,6.79301030838404,3.346528674941318,-23.726409106392985,0.2572313397151627,0.2523141094052906,0.14104657219450917,755,49.80132450331126,1.0699912819686883,-0.328330599847979,1.4532387315327155,-2.0957977993180084,14.033112582781458,755,0,60.57747284162379,555.8986877561996
80.0,0.0,12,4.0,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,10524.021005823262,5.2402100582326305,2.591144993474659,-25.370572011743388,0.22691068565850644,0.16220345647631765,0.10213191063549076,463,48.59611231101512,1.081092496909785,-0.2387863206830479,1.435214140658123,-1.8213497820349949,14.295896328293736,463,0,37.84448256146369,555.8986877561996
80.0,95.0,1,4.0,3.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,10435.17623068669,4.351762306866891,2.156442344981313,-13.800007030204053,0.222452481435871,0.14421761573440045,0.15626385843583349,701,51.212553495007135,1.116797111861305,0.04993953372222409,1.0320453077570746,-0.9809843635833646,4.964336661911555,701,0,19.897084048027445,555.8986877561996
80.0,0.0,12,4.0,0.0,True,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,10394.455747471646,3.944557474716448,1.9565865411758088,-31.534476723318406,0.21054907066241668,0.20746767902381769,0.06204594921116913,686,45.04373177842566,1.0604639953486732,-0.2929728151724101,1.52270531112658,-1.7811546216084522,13.7332361516035,408,278,53.865065751858204,555.8986877561996
50.0,95.0,12,4.0,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,10317.422599341066,3.174225993410662,1.5774366164370113,-28.17659992243794,0.18958437383041885,0.1775426014093113,0.0559839235670464,699,50.92989985693848,1.0518875414335738,-0.28652205252051494,1.6242951137312642,-2.2697608606418957,15.360515021459227,699,0,61.3893653516295,555.8986877561996
80.0,95.0,1,2.5,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,10216.49759793607,2.164975979360695,1.0785484012344915,-12.969169278675663,0.14671060388171622,0.0948118126119467,0.08316248928972471,702,50.85470085470085,1.0973122893005813,0.049478238168433906,1.0485439371962495,-0.9843375721299141,4.921652421652421,702,0,19.754145225843338,555.8986877561996
50.0,0.0,12,2.5,3.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,10075.222082562512,0.7522208256251162,0.3760508952857622,-21.751898650271894,0.13604270027606047,0.1267706265173824,0.01728818717537844,847,46.28099173553719,1.050588610671952,-0.29441085625957125,1.4718613842036803,-1.8161223249663725,12.139315230224321,847,0,58.78787878787879,555.8986877561996
60.0,95.0,4,4.0,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,10144.24387400501,1.4424387400501004,0.7198742530850399,-18.351706998041383,0.12551728652275687,0.11211648195930043,0.03922655550036134,895,53.072625698324025,1.0652536359620401,-0.043395129969012486,1.2444633175449236,-1.4999017075145353,8.26145251396648,895,0,42.275586049170954,555.8986877561996
70.0,95.0,4,4.0,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,10090.65380800302,0.9065380800302059,0.4530238832395783,-18.44924469374596,0.10918986984611152,0.09588914160310918,0.024555145251726602,872,52.86697247706422,1.062985065716201,-0.045380504580469994,1.2366027042796945,-1.4833227412825039,8.224770642201834,872,0,41.0062893081761,555.8986877561996
50.0,0.0,12,4.0,3.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9923.833438742562,-0.7616656125743804,-0.382213975094825,-22.71564844071249,0.10513668367372732,0.09743558154979516,-0.016826020885663817,807,47.58364312267658,1.0444003340344632,-0.2910685227724134,1.4673979064576477,-1.887406841506086,12.983890954151176,807,0,59.908519153802175,555.8986877561996
