rule,action,phase,signals,frequency,edge_6h,t_6h,hit_6h,edge_24h,t_24h,hit_24h,edge_72h,t_72h,hit_72h,edge_mean,good_horizons,enough_signals,selective,keep,bars,reason
MARUBOZU_BULL,LONG,market,570,0.032590051457975985,0.022807522216728257,0.2552048149522814,0.4666666666666667,0.10406929433406531,0.6251197535170591,0.5017543859649123,0.48269913349937577,1.7163292875324125,0.5175438596491229,0.20319198335005648,1,True,True,False,17490,no consistent edge
DELTA_EXHAUSTION,EXIT50,market,1624,0.09285305889079475,0.05418236701340781,1.1526257889056555,0.5135635018495684,0.17855958464544497,1.7910843435887138,0.5200493522516965,0.37135844357474856,2.26230459138997,0.5278465346534653,0.20136679841120045,2,True,True,True,17490,kept
SMART_ACCUMULATION,LONG,market,87,0.004974271012006861,0.2088036922432912,0.9452705817231729,0.41379310344827586,0.13124898799413998,0.2942247384161018,0.5172413793103449,0.21520026271915338,0.3624692600020986,0.4827586206896552,0.18508431431886152,0,False,True,False,17490,too few signals
EMERGENCY_EXIT_01,EXIT100,market,1128,0.06449399656946826,0.054729916373593604,0.8719066396497794,0.5195035460992907,0.2271176012400418,1.6944035650621954,0.5323868677905945,0.26785115339958954,1.3158818451053227,0.5307212822796082,0.18323289033774168,1,True,True,False,17490,no consistent edge
MASTER_FORCE_EXIT,EXIT100,score,3446,0.19702687249857062,0.00923984195607426,0.2808174493417036,0.5055136390017412,0.19149214403425083,2.687236584379519,0.5152394775036284,0.33084002832708304,3.034007936389911,0.5249343832020997,0.17719067143913603,2,True,True,True,17490,kept
MASTER_EXIT_ALL,EXIT100,score,3446,0.19702687249857062,0.00923984195607426,0.2808174493417036,0.5055136390017412,0.19149214403425083,2.687236584379519,0.5152394775036284,0.33084002832708304,3.034007936389911,0.5249343832020997,0.17719067143913603,2,True,True,True,17490,kept
FORCE_CLOSE,EXIT100,score,3446,0.19702687249857062,0.00923984195607426,0.2808174493417036,0.5055136390017412,0.19149214403425083,2.687236584379519,0.5152394775036284,0.33084002832708304,3.034007936389911,0.5249343832020997,0.17719067143913603,2,True,True,True,17490,kept
FIB_786_SHORT,SHORT,market,1262,0.0721555174385363,-0.02526873726397541,-0.4414782889123003,0.4960380348652932,0.11357405005835414,0.899093434750977,0.4722222222222222,0.42500677967134115,1.9718693931958258,0.5051628276409849,0.17110403082190662,1,True,True,False,17490,no consistent edge
EARLY_WAVE_LONG,LONG,market,1881,0.10754716981132076,0.03374178577384787,0.6739630531364859,0.49016480595427964,0.19720040881101963,2.1698658187180557,0.5013290802764487,0.2505245908412337,1.7369523999148644,0.5117647058823529,0.16048892847536708,2,True,True,True,17490,kept
STRUCTURE_FAILURE_LONG,EXIT100,market,1115,0.06375071469411092,0.09299815706915988,1.6666161009204377,0.4780269058295964,0.32248456057576974,2.6288007906605726,0.5085201793721973,0.026278033615976693,0.1381643338262199,0.5245009074410163,0.14725358375363543,2,True,True,True,17490,kept
ENERGY_WALL,EXIT50,market,404,0.0230989136649514,-0.15054941969901742,-1.3479391551082764,0.5123762376237624,0.16528732043272726,0.7387916379808841,0.49504950495049505,0.34886167683710523,1.1487268250197884,0.5235732009925558,0.1211998591902717,0,True,True,False,17490,no consistent edge
DNA_DISTRIBUTION_01,SHORT,market,1021,0.058376214979988565,-0.012815871916426524,-0.20931149301768337,0.4838393731635651,-0.029583735430144142,-0.25507314123832553,0.5044160942100098,0.28554661511643076,1.4501134781846716,0.5113524185587365,0.08104900258995336,0,True,True,False,17490,no consistent edge
SELL_LIQUIDITY_GRAB,SHORT,market,389,0.02224128073184677,-0.09329232093618721,-1.0287131020433398,0.5398457583547558,-0.1356558109228742,-0.6702440286377648,0.5335051546391752,0.44878254657511407,1.3658659264217379,0.520618556701031,0.07327813823868422,0,True,True,False,17490,no consistent edge
MASTER_EXIT_75,EXIT75,score,6095,0.3484848484848485,-0.02565184111976028,-1.007846161678181,0.5081214109926169,0.07705401617223234,1.4428768098737657,0.517479074347612,0.11737609067905308,1.386808193591734,0.5120184392492592,0.05625942191050839,0,True,True,False,17490,no consistent edge
REDUCE_POSITION_75,EXIT75,score,6095,0.3484848484848485,-0.02565184111976028,-1.007846161678181,0.5081214109926169,0.07705401617223234,1.4428768098737657,0.517479074347612,0.11737609067905308,1.386808193591734,0.5120184392492592,0.05625942191050839,0,True,True,False,17490,no consistent edge
EXIT_Q4,EXIT100,score,6095,0.3484848484848485,-0.02565184111976028,-1.007846161678181,0.5081214109926169,0.07705401617223234,1.4428768098737657,0.517479074347612,0.11737609067905308,1.386808193591734,0.5120184392492592,0.05625942191050839,0,True,True,False,17490,no consistent edge
SWING_REVERSAL,EXIT75,market,839,0.04797026872498571,-0.01791363402942582,-0.2993415264444085,0.5470798569725864,0.17100951934132191,1.2776608742541495,0.5613825983313468,-0.0026699184137704,-0.01181189205995964,0.5178997613365155,0.050141988966041905,0,True,True,False,17490,no consistent edge
FIB_786_LONG,LONG,market,767,0.043853630646083476,0.12338767809538605,1.7353921852181073,0.4869451697127937,-0.032486538229983875,-0.1840054756633452,0.49476439790575916,0.04255366580408926,0.15854300177406036,0.4941022280471822,0.0444849352231638,1,True,True,False,17490,no consistent edge
ANTI_BOS,EXIT,market,221,0.0126357918810749,-0.0368612420457632,-0.286720413041006,0.497737556561086,0.0707904028615175,0.24866855298677573,0.4660633484162896,0.07420378176031173,0.14917791899418606,0.5339366515837104,0.03604431419202201,0,True,True,False,17490,no consistent edge
ENTRY_Q1,LONG,score,2451,0.14013722126929673,-0.027758404545656444,-0.6715095637166927,0.483265306122449,0.061719930670104894,0.7654835171003613,0.4983646770237122,0.04727356019245499,0.35355610654201397,0.4926289926289926,0.02707836210563448,0,True,True,False,17490,no consistent edge
FAILED_BOS_LONG,SHORT,market,93,0.005317324185248714,-0.034948819140423165,-0.18996001190174736,0.4946236559139785,-0.010007240302148113,-0.023389419455451598,0.44086021505376344,0.10762225041554874,0.13180240334854543,0.5376344086021505,0.02088873032432582,0,False,True,False,17490,too few signals
HIST200_BUY,LONG,market,132,0.007547169811320755,0.19842991387013537,0.6079584757953469,0.5984848484848485,-0.003073798374401193,-0.004948344836922453,0.6212121212121212,-0.14170059555717973,-0.17877414529557073,0.5648854961832062,0.01788517331285148,0,True,True,False,17490,no consistent edge
LATE_WAVE_EXIT,EXIT,market,5510,0.31503716409376786,0.004472231105505903,0.15811784153789493,0.5065335753176043,0.09980434976034153,1.7287801734375186,0.5158066860465116,-0.056818633045315536,-0.620046787543012,0.5027312454479242,0.015819315940177298,1,True,True,False,17490,no consistent edge
FIB_236_SHORT,SHORT,market,1920,0.1097770154373928,0.04358468703980169,0.9886090754913202,0.5,0.08571015248023711,0.9959614317396075,0.5260416666666666,-0.12040703979619294,-0.8104525112013493,0.5,0.0029625999079486154,0,True,True,False,17490,no consistent edge
EXIT_Q2,EXIT50,score,10936,0.6252715837621498,-0.014073688253920719,-0.7256457847896483,0.5046190432635141,0.012595646611358313,0.3212798778174671,0.5092007690195002,0.010105504514943409,0.15617099912465557,0.502800991826614,0.0028758209574603344,0,True,False,False,17490,fires too often
MASTER_EXIT_25,EXIT25,score,10936,0.6252715837621498,-0.014073688253920719,-0.7256457847896483,0.5046190432635141,0.012595646611358313,0.3212798778174671,0.5092007690195002,0.010105504514943409,0.15617099912465557,0.502800991826614,0.0028758209574603344,0,True,False,False,17490,fires too often
EXIT_Q3,EXIT75,score,8542,0.48839336763865066,-0.018971592070554502,-0.8719756866844105,0.5074941451990632,0.0183471970623032,0.40480520867499886,0.5119549929676512,0.0038486208449557413,0.0530155435379861,0.5009409550693954,0.0010747419455681463,0,True,False,False,17490,fires too often
MASTER_EXIT_50,EXIT50,score,8542,0.48839336763865066,-0.018971592070554502,-0.8719756866844105,0.5074941451990632,0.0183471970623032,0.40480520867499886,0.5119549929676512,0.0038486208449557413,0.0530155435379861,0.5009409550693954,0.0010747419455681463,0,True,False,False,17490,fires too often
REDUCE_POSITION_50,EXIT50,score,8542,0.48839336763865066,-0.018971592070554502,-0.8719756866844105,0.5074941451990632,0.0183471970623032,0.40480520867499886,0.5119549929676512,0.0038486208449557413,0.0530155435379861,0.5009409550693954,0.0010747419455681463,0,True,False,False,17490,fires too often
EXIT_Q1,EXIT25,score,11274,0.6445969125214408,-0.014416742807368613,-0.7420677431336913,0.505811374323485,0.004439580494495221,0.11478977310426693,0.5088358049906758,-0.0017122865377070529,-0.02689535053588184,0.5019597363263851,-0.0038964829501934813,0,True,False,False,17490,fires too often
FIB_500_SHORT,SHORT,market,3,0.00017152658662092623,1.1143210127881669,0.5946235938179468,0.3333333333333333,0.6681078478033513,0.2629733121683142,0.3333333333333333,-1.8035362199930556,-0.3530173579860443,0.3333333333333333,-0.007035786467179135,0,False,True,False,17490,too few signals
REDUCE_POSITION_25,EXIT25,score,10361,0.5923956546598056,-0.02057801770109191,-1.0316636373562422,0.5027997682950377,0.006481097450280415,0.16166683960780043,0.5091313170354623,-0.014188542142429261,-0.21388785491078802,0.5016479255525398,-0.009428487464413585,0,True,False,False,17490,fires too often
