entry_time,exit_time,direction,entry_price,exit_price,pnl,return_pct,bars,mfe,mae,entry_score,entry_reasons,exit_reasons
2020-01-03 01:00:00,2020-01-03 13:00:00,LONG,7152.849337266827,7322.63518,151.61263601276883,2.3327317659528757,12,4.065535458570686,-0.7139612873158288,69.0165,"EARLY_WAVE_LONG,SWING_REVERSAL_BUY,TREND_Q1,MOMENTUM_START,TRIPLE_CONFIRMATION,CASCADE_03,CASCADE_05,CASCADE_08,PYRAMID_LEVEL3",SIGNAL_EXIT
2020-01-09 17:00:00,2020-01-10 06:00:00,LONG,7819.713629999999,7746.4504,-17.10307811812683,-0.6740784862578065,13,1.2510224111621424,-0.9060898308113569,71.77716,"EARLY_WAVE_LONG,SWING_REVERSAL_BUY,EMERGENCY_EXIT_04,STRUCTURE_FAILURE_LONG,MOMENTUM_START,TRIPLE_CONFIRMATION,FIVE_CONFIRMATION,MASTER_EXIT_ALL",SIGNAL_EXIT
2020-01-10 07:00:00,2020-01-13 07:00:00,LONG,8028.051721585388,8061.497378,100.42883976758576,1.5041916198777383,72,5.90272793806789,-0.5454967607917608,71.77716,"EARLY_WAVE_LONG,SWING_REVERSAL_BUY,EMERGENCY_EXIT_04,ENERGY_RECOVER,STRUCTURE_FAILURE_LONG,MOMENTUM_START,TRIPLE_CONFIRMATION,FIVE_CONFIRMATION,PYRAMID_LEVEL2",SIGNAL_EXIT
2020-01-16 02:00:00,2020-01-19 12:00:00,LONG,9144.26892836958,8679.423768,-63.37655533347635,-0.9244717362867986,82,3.88395547888906,-5.061409851296901,74.53782,"EARLY_WAVE_LONG,SWING_REVERSAL_BUY,EMERGENCY_EXIT_04,STRUCTURE_FAILURE_LONG,TREND_Q1,TREND_Q2,TREND_Q3,TREND_Q4,PYRAMID_LEVEL2,PYRAMID_LEVEL3",SIGNAL_EXIT
2020-01-21 08:00:00,2020-01-21 19:00:00,LONG,8635.886832,8510.06369213245,-38.01836119638392,-1.4963971605736723,11,0.30643254728561065,-0.06573536812647539,69.0165,"EARLY_WAVE_LONG,SWING_REVERSAL_BUY,MOMENTUM_START,TRIPLE_CONFIRMATION,CASCADE_03,CASCADE_05,CASCADE_08,CASCADE_10",STOP_LOSS
2020-01-23 02:00:00,2020-01-23 09:00:00,LONG,8600.979852,8479.214810874975,-36.82828117626453,-1.4551449858387036,7,0.11219823980583843,-1.046158153469889,71.77716,"EARLY_WAVE_LONG,SWING_REVERSAL_BUY,DNA_TREND_01,DNA_TREND_02,ENERGY_RECOVER,MOMENTUM_START,TRIPLE_CONFIRMATION,FIVE_CONFIRMATION",STOP_LOSS
2020-01-24 10:00:00,2020-01-25 22:00:00,LONG,8261.85204,8389.3218,31.632977572624362,0.6272797520760331,36,2.9957926963795014,-0.19828532296010973,94.85311248000001,"EARLY_WAVE_LONG,SWING_REVERSAL_BUY,DNA_TREND_01,DNA_TREND_02,ENERGY_RECOVER,TREND_Q1,TREND_Q2,MOMENTUM_START",SIGNAL_EXIT
2020-01-27 20:00:00,2020-02-02 03:00:00,LONG,9433.977705396055,9266.056418,64.03228695624405,0.5904046910429508,127,4.928572676483167,-1.8104527138999051,52.07999999999999,"STRONG_WAVE,ENERGY_RECOVER,CONFLUENCE_02,CONFLUENCE_03,CONFLUENCE_04,CONFLUENCE_05,MOMENTUM_START,SUPPORT_MAJOR,PYRAMID_LEVEL2","PYRAMID_LEVEL2,SIGNAL_EXIT"
2020-02-04 05:00:00,2020-02-04 11:00:00,LONG,9272.124054,9123.69924852212,-41.721236000683746,-1.6401234958853248,6,0.18567424141152739,-1.091487273149029,66.25583999999999,"EARLY_WAVE_LONG,SWING_REVERSAL_BUY,MOMENTUM_START,TRIPLE_CONFIRMATION,CASCADE_03,CASCADE_05,CASCADE_08",STOP_LOSS
2020-02-07 21:00:00,2020-02-10 06:00:00,LONG,10159.695168848692,9834.172772,-4.418634204069775,-0.05025217688604394,56,2.0576500403008167,-3.1889260796139296,74.53782,"EARLY_WAVE_LONG,SWING_REVERSAL_BUY,TREND_Q1,TREND_Q2,TREND_Q3,TREND_Q4,MOMENTUM_START,TRIPLE_CONFIRMATION,PYRAMID_LEVEL2",SIGNAL_EXIT
2020-02-17 11:00:00,2020-02-17 14:00:00,LONG,9717.163043999999,9486.56790996564,-61.05401600104023,-2.4121213170655986,3,0.0,-1.897601626781951,71.77716,"EARLY_WAVE_LONG,SWING_REVERSAL_BUY,DNA_TREND_02,ENERGY_RECOVER,MOMENTUM_START,TRIPLE_CONFIRMATION,FIVE_CONFIRMATION,CASCADE_03",STOP_LOSS
2020-02-26 08:00:00,2020-02-26 16:00:00,LONG,9149.909615999999,8926.417998820496,-62.42701164754115,-2.4815784407528865,8,1.4801281070927812,-1.6898485612319314,71.77716,"EARLY_WAVE_LONG,SWING_REVERSAL_BUY,TREND_Q1,TREND_Q2,TREND_Q3,MOMENTUM_START,TRIPLE_CONFIRMATION,FIVE_CONFIRMATION",STOP_LOSS
2020-02-26 17:00:00,2020-02-28 23:00:00,LONG,8907.361559279067,8777.364176000001,-35.657695029148066,-0.7857552886337897,54,2.0489238045677363,-4.292646669099774,74.53782,"EARLY_WAVE_LONG,DNA_TREND_02,ENERGY_RECOVER,TREND_Q1,TREND_Q2,TREND_Q3,MOMENTUM_START,SUPPORT_MAJOR,PYRAMID_LEVEL2",SIGNAL_EXIT
2020-02-29 01:00:00,2020-03-01 16:00:00,LONG,8720.783808,8454.953794718624,-31.172839330327044,-1.2517229698180314,39,0.5414214254077271,-2.260964293359989,74.53782,"EARLY_WAVE_LONG,TREND_Q1,TREND_Q2,TREND_Q3,TREND_Q4,MOMENTUM_START,SUPPORT_MAJOR,TRIPLE_CONFIRMATION","SIGNAL_EXIT,STOP_LOSS"
2020-03-01 17:00:00,2020-03-02 12:00:00,LONG,8601.438959004567,8756.638321999999,118.54208631693378,1.6982092896400425,19,2.020043573335601,-0.7883393514172394,94.85311248000001,"EARLY_WAVE_LONG,SWING_REVERSAL_BUY,ENERGY_RECOVER,TREND_Q1,TREND_Q2,TREND_Q3,TREND_Q4,MOMENTUM_START,PYRAMID_LEVEL2",SIGNAL_EXIT
2020-03-03 15:00:00,2020-03-05 01:00:00,LONG,8738.207292,8858.138018,30.41826776487778,0.6056298685647035,33,1.3904763750710984,-0.4492602508519023,91.34003424000001,"EARLY_WAVE_LONG,SWING_REVERSAL_BUY,DNA_TREND_02,ENERGY_RECOVER,MOMENTUM_START,SUPPORT_MAJOR,TRIPLE_CONFIRMATION,FIVE_CONFIRMATION",SIGNAL_EXIT
2020-03-06 16:00:00,2020-03-07 17:00:00,LONG,9003.50034,9037.052228,8.37378062132981,0.33250475901909016,25,1.4258861015381346,0.0,74.53782,"EARLY_WAVE_LONG,SWING_REVERSAL_BUY,DNA_TREND_01,DNA_TREND_02,ENERGY_RECOVER,TREND_Q1,MOMENTUM_START,TRIPLE_CONFIRMATION",SIGNAL_EXIT
2020-03-08 13:00:00,2020-03-08 15:00:00,LONG,8681.455944,8539.732821661482,-42.13400936087956,-1.671828048237592,2,0.0,-1.2083911348130905,69.0165,"EARLY_WAVE_LONG,SWING_REVERSAL_BUY,ENERGY_RECOVER,MOMENTUM_START,TRIPLE_CONFIRMATION,CASCADE_03,CASCADE_05,CASCADE_08",STOP_LOSS
2020-03-12 03:00:00,2020-03-12 07:00:00,LONG,7646.889072,7366.891031157667,-185.70582067476056,-3.700129485215522,4,0.20715519541146576,-1.9971398899874073,94.85311248000001,"EARLY_WAVE_LONG,SWING_REVERSAL_BUY,ENERGY_RECOVER,TREND_Q1,TREND_Q2,TREND_Q3,TREND_Q4,MOMENTUM_START",STOP_LOSS
2020-03-12 21:00:00,2020-03-12 23:00:00,LONG,5744.848739999999,5072.4196683699265,-289.1055626766296,-11.740222763418153,2,1.3076281621994594,0.0,74.53782,"EARLY_WAVE_LONG,DNA_TREND_02,ENERGY_RECOVER,TREND_Q1,TREND_Q2,TREND_Q3,TREND_Q4,MOMENTUM_START",STOP_LOSS
2020-03-13 00:00:00,2020-03-13 02:00:00,LONG,4800.970002,3899.56734566727,-449.50910120888494,-18.80791762695536,2,0.0,-13.96238680351579,74.53782,"EARLY_WAVE_LONG,DNA_TREND_01,DNA_TREND_02,ENERGY_RECOVER,TREND_Q1,TREND_Q2,TREND_Q3,TREND_Q4",STOP_LOSS
2020-03-14 23:00:00,2020-03-15 22:00:00,LONG,5343.009367248024,5905.66863,67.08026582217386,0.8182810976727691,23,10.49522084294608,-2.930546373506958,94.85311248000001,"EARLY_WAVE_LONG,SWING_REVERSAL_BUY,TREND_Q1,TREND_Q2,TREND_Q3,TREND_Q4,MOMENTUM_START,SUPPORT_MAJOR,PYRAMID_LEVEL2","SIGNAL_EXIT,PYRAMID_LEVEL2"
2020-03-16 06:00:00,2020-03-16 10:00:00,LONG,5159.341662000001,4721.315661185895,-195.54251550551348,-8.526563191553569,4,0.0,-7.242622925172746,75.47904,"STRONG_WAVE,SWING_REVERSAL_BUY,TREND_Q1,TREND_Q2,TREND_Q3,TREND_Q4,MOMENTUM_START,SUPPORT_MAJOR",STOP_LOSS
2020-03-17 01:00:00,2020-03-19 00:00:00,LONG,5329.464130076501,5392.181348,166.78800651809092,0.9953404885823469,47,3.074616424523111,-4.635815610095016,74.53782,"EARLY_WAVE_LONG,TREND_Q1,TREND_Q2,TREND_Q3,TREND_Q4,MOMENTUM_START,SUPPORT_MAJOR,TRIPLE_CONFIRMATION,PYRAMID_LEVEL2,PYRAMID_LEVEL3","PYRAMID_LEVEL2,SIGNAL_EXIT"
2020-03-22 21:00:00,2020-03-25 12:00:00,LONG,6472.836852193022,6520.6956,297.07367668603536,2.0848309935138545,63,6.798376920017817,-2.589847408539531,71.77716,"EARLY_WAVE_LONG,WAVE_ACCELERATION,SWING_REVERSAL_BUY,ENERGY_RECOVER,MOMENTUM_START,TRIPLE_CONFIRMATION,FIVE_CONFIRMATION,CASCADE_03,PYRAMID_LEVEL3",SIGNAL_EXIT
