signal_time,entry_time,direction,signal_source,entry_price,initial_stop,target,exit_price,exit_time,exit_reason,ret_pct,r_multiple,equity
2020-01-14 01:00:00+00:00,2020-01-14 02:00:00+00:00,long,both_long,8431.83,8055.89,9183.71,8563.1181,2020-01-14 05:00:00+00:00,staircase-lock,0.014170534510302103,0.3178260839495683,1.0031782608394957
2020-01-14 12:00:00+00:00,2020-01-14 13:00:00+00:00,long,whale_long,8498.81,8071.12,9354.189999999999,8579.872999999998,2020-01-14 14:00:00+00:00,staircase-lock,0.008138158871653657,0.16171681825621098,1.0048005688043633
2020-01-14 14:00:00+00:00,2020-01-14 15:00:00+00:00,long,whale_long,8689.99,8088.0,9893.97,8752.999000000002,2020-01-14 16:00:00+00:00,staircase-lock,0.005850756329984398,0.08445823684779005,1.0056492056486122
2020-01-14 17:00:00+00:00,2020-01-14 18:00:00+00:00,long,whale_long,8771.1,8101.0,10111.300000000001,8842.11,2020-01-14 19:00:00+00:00,staircase-lock,0.006695905872695486,0.08764432174302246,1.0065306000740168
2020-01-17 05:00:00+00:00,2020-01-17 06:00:00+00:00,long,breakout_long,8891.25,8600.4,9472.95,8986.425,2020-01-17 07:00:00+00:00,staircase-lock,0.00930434415858279,0.2844326972666293,1.0093935022086213
2020-01-19 01:00:00+00:00,2020-01-19 02:00:00+00:00,long,both_long,9146.91,8806.38,9827.970000000001,8806.38,2020-01-19 11:00:00+00:00,stop,-0.03862896584748303,-1.0376051273015603,0.998919983475056
2020-01-19 11:00:00+00:00,2020-01-19 12:00:00+00:00,short,breakout_short,8681.16,9198.98,7645.52,8573.916000000001,2020-01-19 13:00:00+00:00,staircase-lock,0.011108170129028384,0.18622649221218976,1.000780237120288
2020-01-23 09:00:00+00:00,2020-01-23 10:00:00+00:00,short,breakout_short,8440.84,8710.45,7901.619999999999,8343.784,2020-01-23 14:00:00+00:00,staircase-lock,0.010232132375430704,0.3203434302875647,1.0039861708615194
2020-01-24 09:00:00+00:00,2020-01-24 10:00:00+00:00,short,breakout_short,8260.2,8445.0,7890.600000000002,8445.0,2020-01-24 12:00:00+00:00,stop,-0.023282770870337408,-1.0406945018569362,0.9935377419819597
2020-01-26 16:00:00+00:00,2020-01-26 17:00:00+00:00,long,breakout_long,8503.36,8293.66,8922.760000000002,8586.367,2020-01-26 18:00:00+00:00,staircase-lock,0.008361670680766166,0.3390667429661399,0.9969064980438371
