entry_time,exit_time,direction,source,entry_price,exit_price,exit_reason,ret_pct,r_multiple,equity
2026-07-26 22:00:00+00:00,2026-07-27 08:00:00+00:00,long,breakout_long,65412.68,65159.0,time-exit,-0.005278147172688862,-0.3085771823357499,0.9969142281766425
2026-07-28 13:00:00+00:00,2026-07-28 23:00:00+00:00,short,whale_short,63104.0,63915.0,time-exit,-0.014088727215833584,-0.44766114915808786,0.9924514304866665
2026-07-30 09:00:00+00:00,2026-07-30 11:00:00+00:00,short,whale_short,64567.56,64718.87,stop,-0.0037379580020480575,-1.5,0.9775646590293665
2026-07-31 13:00:00+00:00,2026-07-31 15:00:00+00:00,short,whale_short,63270.73,62546.473,staircase-lock,0.0101795018529663,0.30112936197525386,0.9805083932499973
2026-08-02 02:00:00+00:00,2026-08-02 12:00:00+00:00,long,breakout_long,63451.58,63125.49,time-exit,-0.0065391943273910725,-0.3526510836492208,0.9770506197759296
2026-08-03 03:00:00+00:00,2026-08-03 09:00:00+00:00,short,breakout_short,62870.49,62357.049,staircase-lock,0.00683388868193553,0.46406498967287996,0.9815847696336916
2026-08-07 12:00:00+00:00,2026-08-07 22:00:00+00:00,long,both_long,65292.32,64888.0,time-exit,-0.007592458776162369,-0.4401317991334629,0.9772645029270828
2026-08-09 13:00:00+00:00,2026-08-09 23:00:00+00:00,long,breakout_long,65219.78,64901.59,time-exit,-0.006278734641545868,-0.8362215478864667,0.969092406573761
2026-08-10 17:00:00+00:00,2026-08-10 18:00:00+00:00,long,whale_long,63953.04,63830.57,stop,-0.0033149988804285647,-1.5,0.9545560204751545
2026-08-11 13:00:00+00:00,2026-08-11 15:00:00+00:00,short,whale_short,64200.28,63763.303,staircase-lock,0.005453111106869702,1.1108718385916014,0.9651599144901937
2026-08-12 10:00:00+00:00,2026-08-12 12:00:00+00:00,short,whale_short,64143.36,64263.83,stop,-0.0032746159387014185,-1.5,0.9506825157728408
2026-08-12 12:00:00+00:00,2026-08-12 13:00:00+00:00,short,whale_short,64119.71,63860.13,target,0.0026648210393559035,1.316492428117713,0.9631981791084292
2026-08-12 14:00:00+00:00,2026-08-13 00:00:00+00:00,short,whale_short,63363.39,63556.92,time-exit,-0.004444987076151529,-0.24779779313146008,0.9608113952771161
2026-08-13 16:00:00+00:00,2026-08-14 02:00:00+00:00,short,whale_short,63160.13,63465.39,time-exit,-0.006209865660638013,-0.4615010794691324,0.9563772403162498
2026-08-18 05:00:00+00:00,2026-08-18 15:00:00+00:00,long,whale_long,64242.76,64977.204999999994,staircase-lock,0.01003233883475725,0.6800298978644259,0.962880891486771
2026-08-19 13:00:00+00:00,2026-08-19 15:00:00+00:00,long,whale_long,65012.12,66704.36000000002,target,0.024629608017705154,1.8924301895712248,0.9811027401668792
2026-08-19 15:00:00+00:00,2026-08-19 21:00:00+00:00,long,whale_long,68554.0,69477.391,staircase-lock,0.012069542258657485,0.18856321786691094,0.9829527390643182
2026-08-20 08:00:00+00:00,2026-08-20 11:00:00+00:00,long,whale_long,71592.1,72400.20999999999,staircase-lock,0.009887697944326158,0.09946005193024153,0.9839303843690413
2026-08-20 12:00:00+00:00,2026-08-20 16:00:00+00:00,long,whale_long,71952.04,72742.204,staircase-lock,0.009581815109064374,0.1670534222112389,0.985574073748306
2026-08-21 01:00:00+00:00,2026-08-21 07:00:00+00:00,long,whale_long,75129.23,75690.62299999999,staircase-lock,0.006072364617606253,0.07876236184149236,0.9863503351664876
2026-08-21 08:00:00+00:00,2026-08-21 18:00:00+00:00,long,whale_long,79258.03,77146.0,time-exit,-0.02804752076224952,-0.27356424256371137,0.9836520333430648
2026-08-24 13:00:00+00:00,2026-08-24 15:00:00+00:00,long,whale_long,78597.99,79754.10089999999,staircase-lock,0.013309166226769765,0.5425749821056143,0.9889890831869574
2026-08-25 02:00:00+00:00,2026-08-25 12:00:00+00:00,long,whale_long,80649.63,78980.0,time-exit,-0.02210226484610038,-0.4676580575764176,0.9843639960508825
2026-08-27 08:00:00+00:00,2026-08-27 10:00:00+00:00,long,breakout_long,79755.99,80443.599,staircase-lock,0.007221408874744052,0.27123853330256376,0.9870339705161294
